,author,published_at,updated_at,like_count,text
120,luca modrick,2023-11-12T22:17:44Z,2023-11-12T22:17:44Z,0,😂😂😂
121,herman888888,2023-11-12T21:46:51Z,2023-11-12T21:46:51Z,0,Man how much money is this film losing? 270m for this??
122,Turboy,2023-11-12T21:29:24Z,2023-11-12T21:29:24Z,0,47 mil opening weekend.  No surprse as per my last comment.  We are staying away in droves.
123,Yu Iko,2023-11-12T21:21:01Z,2023-11-12T21:21:01Z,1,Brie Larson has the charisma of a potato.
124,Steve Vadeboncoeur,2023-11-12T21:16:08Z,2023-11-12T21:16:08Z,0,"Disney PANICS! And deploys the brie bots, The Marvels is a FLOP"
125,Mike Epps,2023-11-12T21:04:22Z,2023-11-12T21:04:22Z,0,"Yep, it Bombed."
126,Steve Vadeboncoeur,2023-11-12T20:56:44Z,2023-11-12T20:56:44Z,2,suspicious bot activity
127,X-Men vs Grifters+Hatriots,2023-11-12T20:56:12Z,2023-11-12T20:56:12Z,1,Brie Larson made $115 million in 3 days. . Imagine if she also wins the Emmy for Lessons in Chemistry . That will be epic!!
128,X-Men vs Grifters+Hatriots,2023-11-12T20:55:09Z,2023-11-12T20:55:09Z,0,Brie Larson is #1 at the world wide box office . The /nceI dudes will never know that feeling ...
129,M Herns,2023-11-12T20:52:02Z,2023-11-12T20:52:02Z,11,"Just saw this movie: My wife and I are officially dropping all future Marvel films/TV from here on.  Marvel has lost their touch, Disney destroyed Marvel Studios all the way to the Disney song/dance segment.  Embarrassing.  Thanks Marvel & Disney  for saving us MUCH money & time in future film/TV viewing.  Marvel Studios, you'll never get back to how great you were (and CARED) before Disney grabbed you.  Such a shame."
130,Allan Pierre - Ubertel Telecom,2023-11-12T20:42:47Z,2023-11-12T20:42:47Z,0,Top
131,burak alkan,2023-11-12T20:39:35Z,2023-11-12T20:39:35Z,3,"please do not watch and support these movies, so that they have to try to make these better. thank you have a good day."
132,Kristoffer Sevillena,2023-11-12T20:22:53Z,2023-11-12T20:23:09Z,0,"Why's ""Intergalactic"" being used to promote this movie? I know The Beastie Boys swore an oath to never have their music used commercially."
133,Eli,2023-11-12T20:17:31Z,2023-11-12T20:17:31Z,2,Brie Larson #1 at the Box Office and she will win an Emmy for Lessons in Chemistry . This is the dream !
134,Iulius_ Cezar09,2023-11-12T20:17:09Z,2023-11-12T20:17:09Z,1,"Lame lame lame,they become boring these hero movies!"
135,Juliana Ayu Yahya,2023-11-12T20:11:17Z,2023-11-12T20:11:17Z,1,Such a good and fun movie!!
136,Lezandro,2023-11-12T20:04:51Z,2023-11-12T20:04:51Z,0,some nice girl power
137,Liquid Snake,2023-11-12T19:49:01Z,2023-11-12T19:49:01Z,1,Cap in the Marvel Dress 🤌
138,jinkiescoob,2023-11-12T19:47:53Z,2023-11-12T19:47:53Z,3,"I came here because I heard it got bad reviews. Now I can see why. It's a pile of crap. Avoiding like plague. Maybe hollywood should actually invest in some R&D into what people actually want to see, because this is far from it. What garbage."
139,MarlonR,2023-11-12T19:36:31Z,2023-11-12T19:36:31Z,0,First marvel movie i aint even wanna see
140,Dan Downing,2023-11-12T19:27:05Z,2023-11-12T19:27:05Z,2,As predicted....it bombed. Lowest weekend ever for any MCU film.
141,akshay takkar,2023-11-12T19:05:23Z,2023-11-12T19:05:23Z,9,And that's how you know we are living in the dark ages of cinema
142,Oğuzhan,2023-11-12T19:04:29Z,2023-11-12T19:04:29Z,3,Boring!!!
143,Christopher Withers,2023-11-12T18:57:26Z,2023-11-12T18:57:26Z,3,"Much like Thanos, you snapped your fingers and made half the population not want to see this movie.🫰"
144,Doc Holliday's Raiders Intel,2023-11-12T18:51:22Z,2023-11-12T18:51:22Z,0,"Samuel L Jackson as Nick Fury is the worst casting job in Marvel history. Who in the world looks at Samuel L Jackson and thinks ""🫰 Nick Fury""? Panderverse."
145,espmind68,2023-11-12T18:46:19Z,2023-11-12T18:47:19Z,3,"Just when you thought Marvel studio couldn't reach another level of stupidity after Thor: Love and Thunder, well, with time, very little work and poor writting skills they've outdone themselves with The Marvels and  proved us all wrong. they could do worse and they surely did!
The Marvels is truly a marvel of nonsense and stupidity. If you enjoyed this movie it only shows that you were so taken by the little kittens and the bollywood charade that you failed to notice your IQ dropping during this disaster of a movie. But hey, this is what happens when you put all your money into special effects and you are left  with very little to pay good writers.  Well good night everyone, I'm gonna watch an episode of Cosmos: A Spacetime Odyssey and pray that Neil deGrasse Tyson can help me recover the neurons I lost while watching The Marvels... Out."
